yyyymmdd,from_ccy,to_ccy,fx_rate
20161002,GBP,AUD,1.6862
20161003,GBP,AUD,1.6734
20161004,GBP,AUD,1.6702
20161005,GBP,AUD,1.6726
20161006,GBP,AUD,1.6633
20161007,GBP,AUD,1.6377
20161009,GBP,AUD,1.6288
20161010,GBP,AUD,1.6252
20161011,GBP,AUD,1.6081
20161012,GBP,AUD,1.6133
20161013,GBP,AUD,1.6191
20161014,GBP,AUD,1.5996
20161016,GBP,AUD,1.5949
20161017,GBP,AUD,1.5971
20161018,GBP,AUD,1.6042
20161019,GBP,AUD,1.591
20161020,GBP,AUD,1.6067
20161021,GBP,AUD,1.6064
20161023,GBP,AUD,1.6061
20161024,GBP,AUD,1.608
20161025,GBP,AUD,1.5941
20161026,GBP,AUD,1.6009
20161027,GBP,AUD,1.6028
20161028,GBP,AUD,1.6034
20161030,GBP,AUD,1.6052
20161031,GBP,AUD,1.6089
20161101,GBP,AUD,1.5999
20161102,GBP,AUD,1.6061
20161103,GBP,AUD,1.6219999999999999
20161104,GBP,AUD,1.6308
20161106,GBP,AUD,1.6214
20161107,GBP,AUD,1.604
20161108,GBP,AUD,1.5948
20161109,GBP,AUD,1.6249
20161110,GBP,AUD,1.6491
20161111,GBP,AUD,1.6685
20161113,GBP,AUD,1.6658
20161114,GBP,AUD,1.6535
20161115,GBP,AUD,1.6479
20161116,GBP,AUD,1.6634
20161117,GBP,AUD,1.6766
20161118,GBP,AUD,1.683
20161120,GBP,AUD,1.6836
20161121,GBP,AUD,1.6957
20161122,GBP,AUD,1.6785
20161123,GBP,AUD,1.6846
20161124,GBP,AUD,1.6808
20161125,GBP,AUD,1.6772
20161127,GBP,AUD,1.6745
20161128,GBP,AUD,1.6595
20161129,GBP,AUD,1.6699
20161130,GBP,AUD,1.6936
20161201,GBP,AUD,1.6982
20161202,GBP,AUD,1.7069999999999999
20161204,GBP,AUD,1.702
20161205,GBP,AUD,1.704
20161206,GBP,AUD,1.6992
20161207,GBP,AUD,1.6875
20161208,GBP,AUD,1.6862
20161209,GBP,AUD,1.6885
20161211,GBP,AUD,1.6889
20161212,GBP,AUD,1.6911
20161213,GBP,AUD,1.6877
20161214,GBP,AUD,1.6966
20161215,GBP,AUD,1.6877
20161216,GBP,AUD,1.7101
20161218,GBP,AUD,1.7144
20161219,GBP,AUD,1.7108
20161220,GBP,AUD,1.7038
20161221,GBP,AUD,1.7068
20161222,GBP,AUD,1.7019
20161223,GBP,AUD,1.7116
20161225,GBP,AUD,1.7112
20161226,GBP,AUD,1.7085
20161227,GBP,AUD,1.7079
20161228,GBP,AUD,1.7036
20161229,GBP,AUD,1.6986
20161230,GBP,AUD,1.7122
20170101,GBP,AUD,1.7086
20170102,GBP,AUD,1.709
20170103,GBP,AUD,1.6952
20170104,GBP,AUD,1.6918
20170105,GBP,AUD,1.6923
20170106,GBP,AUD,1.6824
20170108,GBP,AUD,1.6789
20170109,GBP,AUD,1.6542
20170110,GBP,AUD,1.6526
20170111,GBP,AUD,1.6414
20170112,GBP,AUD,1.6252
20170113,GBP,AUD,1.6241
20170115,GBP,AUD,1.6039
20170116,GBP,AUD,1.6114
20170117,GBP,AUD,1.6407
20170118,GBP,AUD,1.6337
20170119,GBP,AUD,1.6321
20170120,GBP,AUD,1.6375
20170122,GBP,AUD,1.6387
20170123,GBP,AUD,1.6528
20170124,GBP,AUD,1.6516
20170125,GBP,AUD,1.6684
20170126,GBP,AUD,1.6714
20170127,GBP,AUD,1.6622
20170129,GBP,AUD,1.6648
20170130,GBP,AUD,1.6527
20170131,GBP,AUD,1.6583
20170201,GBP,AUD,1.6685
20170202,GBP,AUD,1.6359
20170203,GBP,AUD,1.6256
20170205,GBP,AUD,1.6267
20170206,GBP,AUD,1.6278
20170207,GBP,AUD,1.6399
20170208,GBP,AUD,1.6404
20170209,GBP,AUD,1.639
20170210,GBP,AUD,1.6267
20170212,GBP,AUD,1.6244
20170213,GBP,AUD,1.6395
20170214,GBP,AUD,1.6269
20170215,GBP,AUD,1.6159999999999999
20170216,GBP,AUD,1.6234
20170217,GBP,AUD,1.6183
20170219,GBP,AUD,1.6178
20170220,GBP,AUD,1.6211
20170221,GBP,AUD,1.6252
20170222,GBP,AUD,1.6162
20170223,GBP,AUD,1.6273
20170224,GBP,AUD,1.624
20170226,GBP,AUD,1.6238
20170227,GBP,AUD,1.6216
20170228,GBP,AUD,1.6168
20170301,GBP,AUD,1.6014
20170302,GBP,AUD,1.62
20170303,GBP,AUD,1.6174
20170305,GBP,AUD,1.6193
20170306,GBP,AUD,1.6144
20170307,GBP,AUD,1.6078
20170308,GBP,AUD,1.6166
20170309,GBP,AUD,1.6207
20170310,GBP,AUD,1.6132
20170312,GBP,AUD,1.6111
20170313,GBP,AUD,1.6139
20170314,GBP,AUD,1.6077
20170315,GBP,AUD,1.5945
20170316,GBP,AUD,1.6099
20170317,GBP,AUD,1.6089
20170319,GBP,AUD,1.6102
20170320,GBP,AUD,1.5985
20170321,GBP,AUD,1.6225
20170322,GBP,AUD,1.6261
20170323,GBP,AUD,1.6416
20170324,GBP,AUD,1.6366
20170326,GBP,AUD,1.6364
20170327,GBP,AUD,1.6487
20170328,GBP,AUD,1.6311
20170329,GBP,AUD,1.6212
20170330,GBP,AUD,1.6319
20170331,GBP,AUD,1.6453
20170402,GBP,AUD,1.6442
20170403,GBP,AUD,1.6419
20170404,GBP,AUD,1.6444
20170405,GBP,AUD,1.6491
20170406,GBP,AUD,1.6527
20170407,GBP,AUD,1.6494
20170409,GBP,AUD,1.6524
20170410,GBP,AUD,1.6551
20170411,GBP,AUD,1.6657
20170412,GBP,AUD,1.6669999999999998
20170413,GBP,AUD,1.6519
20170414,GBP,AUD,1.6526
20170416,GBP,AUD,1.6540000000000001
20170417,GBP,AUD,1.656
20170418,GBP,AUD,1.6985
20170419,GBP,AUD,1.7043
20170420,GBP,AUD,1.7024
20170421,GBP,AUD,1.6984
20170423,GBP,AUD,1.6919
20170424,GBP,AUD,1.6903
20170425,GBP,AUD,1.7042
20170426,GBP,AUD,1.719
20170427,GBP,AUD,1.7287
20170428,GBP,AUD,1.7295
20170430,GBP,AUD,1.7309999999999999
20170501,GBP,AUD,1.7122
20170502,GBP,AUD,1.7169999999999999
20170503,GBP,AUD,1.7335
20170504,GBP,AUD,1.7443
20170505,GBP,AUD,1.7489
20170507,GBP,AUD,1.7516
20170508,GBP,AUD,1.7518
20170509,GBP,AUD,1.7611
20170510,GBP,AUD,1.7562
20170511,GBP,AUD,1.7464
20170512,GBP,AUD,1.7453
20170514,GBP,AUD,1.7427
20170515,GBP,AUD,1.7397
20170516,GBP,AUD,1.7395
20170517,GBP,AUD,1.7452
