portfolio_name,security_name,positions,mkt_val_gbp
LPPI  GF BARON BNYMILTD BRZEX589145,Azul SA,269434.0,2806680.47307401
LPPI  GF BARON BNYMILTD BRZEX589145,B3 SA - Brasil Bolsa Balcao,719727.0,6778932.961761792
LPPI  GF BARON BNYMILTD BRZEX589145,Cogna Educacao,1903126.0,3548056.9397782222
LPPI  GF BARON BNYMILTD BRZEX589145,Notre Dame Intermedica Partici,199933.0,2334680.692521313
LPPI  GF BARON BNYMILTD BRZEX589145,Rumo SA,1251675.0,5615072.437030276
LPPI GEF BARON BNYMILTD,Alibaba Group Holding Ltd,130678.0,17981138.846690435
LPPI GEF BARON BNYMILTD,China International Travel Ser,568166.0,5638193.065110903
LPPI GEF BARON BNYMILTD,Midea Group Co Ltd,907786.0,5343091.7959161205
LPPI GEF BARON BNYMILTD,Petroleo Brasileiro SA,592673.0,7460091.086653232
LPPI GEF BARON BNYMILTD,Reliance Industries Ltd,419784.0,6796188.65941918
LPPI GEF BARON BNYMILTD,Samsung Electronics Co Ltd,328944.0,11028232.761029178
LPPI GEF BARON BNYMILTD,Sberbank of Russia PJSC,700698.0,8135526.30599907
LPPI GEF BARON BNYMILTD,Taiwan Semiconductor Manufactu,297668.0,11976395.814602388
LPPI GEF BARON BNYMILTD,Tencent Holdings Ltd,284517.0,8894763.840948416
LPPI GEF BARON BNYMILTD,WH Group Ltd,7170359.0,6004363.974571914
LPPI GEF FIRST EAGLE BNYMILTD,British American Tobacco PLC,508289.0,13960157.385
LPPI GEF FIRST EAGLE BNYMILTD,Comcast Corp,610624.0,21150818.91179662
LPPI GEF FIRST EAGLE BNYMILTD,Danone SA,220087.0,14232419.481417457
LPPI GEF FIRST EAGLE BNYMILTD,FANUC Corp,118700.0,18124685.820071913
LPPI GEF FIRST EAGLE BNYMILTD,KDDI Corp,752898.0,15951069.806685893
LPPI GEF FIRST EAGLE BNYMILTD,Oracle Corp,582744.0,24774072.546891958
LPPI GEF FIRST EAGLE BNYMILTD,Philip Morris International In,217981.0,13720537.133777708
LPPI GEF FIRST EAGLE BNYMILTD,SPDR Gold Shares,886261.0,96869110.38598667
LPPI GEF FIRST EAGLE BNYMILTD,Schlumberger Ltd,706725.0,18130985.50612308
LPPI GEF FIRST EAGLE BNYMILTD,Weyerhaeuser Co,805430.0,18746754.689195473
LPPI GEF INTERNAL EQUITY BNYMILTD,Accenture PLC,1021787.0,147763926.8795536
LPPI GEF INTERNAL EQUITY BNYMILTD,Apple Inc,530132.0,99953426.07347697
LPPI GEF INTERNAL EQUITY BNYMILTD,British American Tobacco PLC,5120595.0,140637141.675
LPPI GEF INTERNAL EQUITY BNYMILTD,Colgate-Palmolive Co,2653830.0,141063138.5831654
LPPI GEF INTERNAL EQUITY BNYMILTD,Kone Oyj,1856383.0,92450119.67156439
LPPI GEF INTERNAL EQUITY BNYMILTD,London Stock Exchange Group PL,1506720.0,107007254.39999999
LPPI GEF INTERNAL EQUITY BNYMILTD,Moody's Corp,531547.0,89912275.05813053
LPPI GEF INTERNAL EQUITY BNYMILTD,Nestle SA,1889080.0,156685739.08955574
LPPI GEF INTERNAL EQUITY BNYMILTD,Rockwell Automation Inc,663561.0,90106872.73290962
LPPI GEF INTERNAL EQUITY BNYMILTD,Visa Inc,1098594.0,152629805.06898153
LPPI GEF INTRNL INCUBATOR BNYMILTD,ANSYS Inc,2905.0,507035.3046039374
LPPI GEF INTRNL INCUBATOR BNYMILTD,Abcam PLC,54012.0,631400.28
LPPI GEF INTRNL INCUBATOR BNYMILTD,CDW Corp/DE,5592.0,552091.8927298093
LPPI GEF INTRNL INCUBATOR BNYMILTD,Church & Dwight Co Inc,9701.0,567006.9834134242
LPPI GEF INTRNL INCUBATOR BNYMILTD,Constellation Software Inc/Can,671.0,517372.77921771916
LPPI GEF INTRNL INCUBATOR BNYMILTD,Domino's Pizza Inc,2406.0,505181.67725933954
LPPI GEF INTRNL INCUBATOR BNYMILTD,IDEXX Laboratories Inc,2854.0,605772.6709037359
LPPI GEF INTRNL INCUBATOR BNYMILTD,Jack Henry & Associates Inc,4425.0,485234.0722368625
LPPI GEF INTRNL INCUBATOR BNYMILTD,Masimo Corp,5301.0,605699.441946985
LPPI GEF INTRNL INCUBATOR BNYMILTD,Rollins Inc,18356.0,542342.830568904
LPPI GEF MAGELLAN BNYMILTD,Alibaba Group Holding Ltd,461240.0,63466080.60765772
LPPI GEF MAGELLAN BNYMILTD,Alphabet Inc,81227.0,79402958.43280111
LPPI GEF MAGELLAN BNYMILTD,Facebook Inc,481708.0,70284863.58704077
LPPI GEF MAGELLAN BNYMILTD,HCA Healthcare Inc,475984.0,49719705.22399628
LPPI GEF MAGELLAN BNYMILTD,LVMH Moet Hennessy Louis Vuitt,153798.0,51104270.61365601
LPPI GEF MAGELLAN BNYMILTD,Mastercard Inc,204322.0,43890747.40350333
LPPI GEF MAGELLAN BNYMILTD,Microsoft Corp,646641.0,72477720.51619904
LPPI GEF MAGELLAN BNYMILTD,SAP SE,458179.0,47370243.71650821
LPPI GEF MAGELLAN BNYMILTD,Starbucks Corp,889534.0,58045161.57184933
LPPI GEF MAGELLAN BNYMILTD,Visa Inc,430101.0,59754769.9968997
LPPI GEF ROBECO BNYMILTD,AT&T Inc,443200.0,13122182.607347699
LPPI GEF ROBECO BNYMILTD,Garmin Ltd,141317.0,10553319.601612153
LPPI GEF ROBECO BNYMILTD,McDonald's Corp,82139.0,12534760.277476357
LPPI GEF ROBECO BNYMILTD,Merck & Co Inc,230000.0,15370175.166640831
LPPI GEF ROBECO BNYMILTD,Nestle SA,172475.0,14305573.532868447
LPPI GEF ROBECO BNYMILTD,PepsiCo Inc,130800.0,13878871.492791815
LPPI GEF ROBECO BNYMILTD,Pfizer Inc,410240.0,12235339.637265539
LPPI GEF ROBECO BNYMILTD,Procter & Gamble Co/The,157835.0,15284378.313439777
LPPI GEF ROBECO BNYMILTD,Verizon Communications Inc,316200.0,14905661.137808092
LPPI GEF ROBECO BNYMILTD,Walmart Inc,115472.0,10569867.617423654
LPPI GEF WELLINGTON BNYMILTD,AIA Group Ltd,3311521.0,25111090.748210542
LPPI GEF WELLINGTON BNYMILTD,American Tower Corp,203634.0,34287281.16571075
LPPI GEF WELLINGTON BNYMILTD,Canadian National Railway Co,360333.0,25261092.32445806
LPPI GEF WELLINGTON BNYMILTD,Fidelity National Information,249882.0,25557610.230971944
LPPI GEF WELLINGTON BNYMILTD,Intact Financial Corp,521655.0,41155309.93755891
LPPI GEF WELLINGTON BNYMILTD,Motorola Solutions Inc,216469.0,27744003.906371105
LPPI GEF WELLINGTON BNYMILTD,Novartis AG,380788.0,25894061.364882864
LPPI GEF WELLINGTON BNYMILTD,Rubis SCA,532877.0,23742272.558340535
LPPI GEF WELLINGTON BNYMILTD,Vinci SA,321467.0,27723402.990492653
LPPI GEF WELLINGTON BNYMILTD,Waste Connections Inc,338056.0,24272882.799245995
LPPI GF FT EGL BNYMILTD BRZEX650557,Cielo SA,1932052.0,2870331.462528887
OVERALL,Accenture PLC,1061355.0,153485983.49093166
OVERALL,Alphabet Inc,180207.0,176123201.7284142
OVERALL,Apple Inc,669800.0,126287046.96946208
OVERALL,British American Tobacco PLC,5628884.0,154597299.06
OVERALL,Colgate-Palmolive Co,2870296.0,152569291.3346768
OVERALL,London Stock Exchange Group PL,1506720.0,107007254.39999999
OVERALL,Nestle SA,2654707.0,220189048.8286453
OVERALL,PepsiCo Inc,1168627.0,124000183.14989924
OVERALL,Starbucks Corp,2248104.0,146696539.88528913
OVERALL,Visa Inc,1528695.0,212384575.06588122
