yyyymmdd,security_name,positions,mkt_val_gbp
20191001,Accenture PLC,1061355.0,163594647.2931231
20191001,Alphabet Inc,180952.0,177333543.3262884
20191001,Anheuser-Busch InBev SA/NV,1504888.0,114230304.47761193
20191001,Apple Inc,825929.0,150784745.6592424
20191001,British American Tobacco PLC,5628884.0,168106620.65999997
20191001,Colgate-Palmolive Co,2870296.0,167360048.83758742
20191001,Nestle SA,2673801.0,232688931.9208115
20191001,PepsiCo Inc,1168627.0,130494465.11949277
20191001,Starbucks Corp,2248104.0,158090942.15574706
20191001,Visa Inc,1528695.0,216579622.45976266
20191002,Accenture PLC,1061355.0,159466367.34942698
20191002,Alphabet Inc,180952.0,173163639.06364304
20191002,Anheuser-Busch InBev SA/NV,1504888.0,111412116.23017994
20191002,Apple Inc,825929.0,146992939.80330002
20191002,British American Tobacco PLC,5628884.0,163068769.48000002
20191002,Colgate-Palmolive Co,2870296.0,164523509.64805332
20191002,Nestle SA,2673801.0,229506885.15045258
20191002,PepsiCo Inc,1168627.0,127225798.89457855
20191002,Starbucks Corp,2248104.0,154076346.64715922
20191002,Visa Inc,1528695.0,211020297.36649597
20191003,Accenture PLC,1061355.0,159917590.45572495
20191003,Alphabet Inc,180952.0,174425113.00681153
20191003,Anheuser-Busch InBev SA/NV,1504888.0,110953380.01422475
20191003,Apple Inc,825929.0,147892995.28057086
20191003,British American Tobacco PLC,5628884.0,156989574.76000002
20191003,Colgate-Palmolive Co,2870296.0,164951246.77262405
20191003,Nestle SA,2670365.0,230034202.2891469
20191003,PepsiCo Inc,1168627.0,130707689.02854364
20191003,Starbucks Corp,2248104.0,154352064.28803116
20191003,Visa Inc,1528695.0,214292494.85079467
20191004,Accenture PLC,1061355.0,163227120.4281891
20191004,Alphabet Inc,180952.0,177575209.73157084
20191004,Anheuser-Busch InBev SA/NV,1504888.0,112819714.58073705
20191004,Apple Inc,825929.0,152051043.94615194
20191004,British American Tobacco PLC,5628884.0,157693185.26000002
20191004,Colgate-Palmolive Co,2870296.0,167757872.6137377
20191004,Nestle SA,2666580.0,232057837.58247128
20191004,PepsiCo Inc,1168627.0,132945418.50620387
20191004,Starbucks Corp,2248104.0,156643496.61827913
20191004,Visa Inc,1528695.0,218165392.993269
20191007,Accenture PLC,1061355.0,161288316.56227124
20191007,Alphabet Inc,180952.0,177816162.77556333
20191007,Anheuser-Busch InBev SA/NV,1504888.0,114683075.69834895
20191007,Apple Inc,825929.0,152554656.09696576
20191007,British American Tobacco PLC,5628884.0,158959684.15999997
20191007,Colgate-Palmolive Co,2870296.0,167225737.83454
20191007,Nestle SA,2661910.0,234688720.0458003
20191007,PepsiCo Inc,1168627.0,131512128.18677294
20191007,Starbucks Corp,2248104.0,156999697.71414626
20191007,Visa Inc,1528695.0,217496750.58976653
