yyyymmdd,structure,gross_net,variable,market_value,month,quarter_to_date,months_3,fiscal_ytd,ytd,year_1,year_3,itd
2019-10-31,Global Equity Fund,gross,TOTAL GROSS OF FEES,7036972572.87,-0.0387,-0.0387,-0.0421,0.0902,0.21530000000000002,0.1643,0.11410000000000001,0.11410000000000001
2019-10-31,Global Equity Fund,gross,MSCI All Country Index,,-0.0216,-0.0216,-0.030899999999999997,0.0716,0.175,0.1118,0.092,0.092
2019-10-31,Global Equity Fund,gross,Excess Return VS MSCI All Country Index,,-0.017,-0.017,-0.011200000000000002,0.018600000000000002,0.0404,0.0525,0.0222,0.0222
2019-10-31,Global Equity Fund,net,TOTAL NET OF FEES,7028028724.65,-0.039,-0.039,-0.0431,0.08789999999999999,0.2118,0.16010000000000002,0.1101,0.1101
2019-10-31,Global Equity Fund,net,MSCI All Country Index,,-0.0216,-0.0216,-0.030899999999999997,0.0716,0.175,0.1118,0.092,0.092
2019-10-31,Global Equity Fund,net,Excess Return VS MSCI All Country Index,,-0.0174,-0.0174,-0.012199999999999999,0.0163,0.0368,0.0483,0.0182,0.0182
2019-10-31,LPPI Robeco,gross,TOTAL GROSS OF FEES,1063207977.83,-0.04,-0.04,-0.025099999999999997,0.08710000000000001,0.18,0.1338,0.0848,0.0848
2019-10-31,LPPI Robeco,gross,MSCI Developed Markets Index,,-0.023399999999999997,-0.023399999999999997,-0.029300000000000003,0.0797,0.187,0.1128,0.0971,0.0971
2019-10-31,LPPI Robeco,gross,Excess Return VS MSCI Developed Markets Index,,-0.0166,-0.0166,0.0042,0.0075,-0.0069,0.021099999999999997,-0.0123,-0.0123
2019-10-31,LPPI Robeco,net,TOTAL NET OF FEES,1062702833.48,-0.0401,-0.0401,-0.0254,0.0863,0.1787,0.1323,0.0833,0.0833
2019-10-31,LPPI Robeco,net,MSCI Developed Markets Index,,-0.023399999999999997,-0.023399999999999997,-0.029300000000000003,0.0797,0.187,0.1128,0.0971,0.0971
2019-10-31,LPPI Robeco,net,Excess Return VS MSCI Developed Markets Index,,-0.0167,-0.0167,0.0039000000000000003,0.0066,-0.008199999999999999,0.0195,-0.0138,-0.0138
2019-10-31,LPPI Magellan,gross,TOTAL GROSS OF FEES,1100283054.19,-0.0313,-0.0313,-0.0473,0.1054,0.2053,0.1477,0.1377,0.1377
2019-10-31,LPPI Magellan,gross,MSCI AC World Index,,-0.0216,-0.0216,-0.030899999999999997,0.0716,0.175,0.1118,0.092,0.092
