yyyymmdd,portfolio,allocation,contribution
2020-01-01,LPPI GEF BARON BNYMILTD,0.048989748065536416,0.051756104954941005
2020-01-01,LPPI GEF CASH ONLY BNYMILTD,0.0,0.013170658866752378
2020-01-01,LPPI GEF FIRST EAGLE BNYMILTD,0.11412183886840356,0.1903137239204117
2020-01-01,LPPI GEF INTERNAL EQUITY BNYMILTD,0.4200451757758622,0.3056068373401602
2020-01-01,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.0016650766172988136,0.0022171926855415404
2020-01-01,LPPI GEF MAGELLAN BNYMILTD,0.16447623286569243,0.19428630014507337
2020-01-01,LPPI GEF ROBECO BNYMILTD,0.147239472194562,0.15951314901762945
2020-01-01,LPPI GEF WELLINGTON BNYMILTD,0.10346245561264371,0.08313603306949184
2020-01-02,LPPI  GF BARON BNYMILTD BRZEX589145,0.0037010556854815487,0.0018569357264705772
2020-01-02,LPPI GEF BARON BNYMILTD,0.053327928200474266,0.053519702238190005
2020-01-02,LPPI GEF CASH ONLY BNYMILTD,0.0,0.012636371822527004
2020-01-02,LPPI GEF FIRST EAGLE BNYMILTD,0.11492408143146979,0.1876017039681196
2020-01-02,LPPI GEF INTERNAL EQUITY BNYMILTD,0.41902656239989994,0.3119600044102264
2020-01-02,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.001760809750989958,0.0022112456616642847
2020-01-02,LPPI GEF MAGELLAN BNYMILTD,0.16125656451467785,0.18950032405178466
2020-01-02,LPPI GEF ROBECO BNYMILTD,0.14461420294457059,0.15789658645516366
2020-01-02,LPPI GEF WELLINGTON BNYMILTD,0.10090374974487441,0.08255951354313469
2020-01-02,LPPI GF FT EGL BNYMILTD BRZEX650557,0.0004850453275617202,0.0002576121227180834
2020-01-03,LPPI  GF BARON BNYMILTD BRZEX589145,0.0033876804398869018,0.0016287693257145371
2020-01-03,LPPI GEF BARON BNYMILTD,0.049881417994021106,0.04752492079327548
2020-01-03,LPPI GEF CASH ONLY BNYMILTD,0.0,0.01121949591994661
2020-01-03,LPPI GEF FIRST EAGLE BNYMILTD,0.11014454577653669,0.1930159831994041
2020-01-03,LPPI GEF INTERNAL EQUITY BNYMILTD,0.4268676185799858,0.30325788417571503
2020-01-03,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.0016436737042067546,0.001962399850205838
2020-01-03,LPPI GEF MAGELLAN BNYMILTD,0.16268153640282587,0.19254128784126257
2020-01-03,LPPI GEF ROBECO BNYMILTD,0.1466565016243354,0.16820455614908777
2020-01-03,LPPI GEF WELLINGTON BNYMILTD,0.09829209645826445,0.08041843529806914
2020-01-03,LPPI GF FT EGL BNYMILTD BRZEX650557,0.00044492901993750726,0.00022626744731847137
2020-01-06,LPPI  GF BARON BNYMILTD BRZEX589145,0.0032959148717481603,0.0015890058717567901
2020-01-06,LPPI GEF BARON BNYMILTD,0.049820978516296854,0.0480209070931653
2020-01-06,LPPI GEF CASH ONLY BNYMILTD,0.0,0.01124401363889499
2020-01-06,LPPI GEF FIRST EAGLE BNYMILTD,0.12620409563887275,0.20120434335184084
2020-01-06,LPPI GEF INTERNAL EQUITY BNYMILTD,0.4021948444572381,0.28791546804622964
2020-01-06,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.0016456907681148597,0.0019879808114996087
2020-01-06,LPPI GEF MAGELLAN BNYMILTD,0.16320349328548076,0.1939198696707605
2020-01-06,LPPI GEF ROBECO BNYMILTD,0.14865014731065176,0.1711929081746302
2020-01-06,LPPI GEF WELLINGTON BNYMILTD,0.10455162706463732,0.08270461837484736
2020-01-06,LPPI GF FT EGL BNYMILTD BRZEX650557,0.00043320808695818336,0.0002208849663739515
2020-01-07,LPPI  GF BARON BNYMILTD BRZEX589145,0.0032142538853530476,0.001556309684760453
2020-01-07,LPPI GEF BARON BNYMILTD,0.04872608996433577,0.047534813166523825
2020-01-07,LPPI GEF CASH ONLY BNYMILTD,0.0,0.011040109006530784
2020-01-07,LPPI GEF FIRST EAGLE BNYMILTD,0.12464628119387097,0.19883227372644477
2020-01-07,LPPI GEF INTERNAL EQUITY BNYMILTD,0.41379188805610406,0.29870824532234325
2020-01-07,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.0016016769601575759,0.00197818431650488
2020-01-07,LPPI GEF MAGELLAN BNYMILTD,0.15850817838546766,0.19021045151319352
2020-01-07,LPPI GEF ROBECO BNYMILTD,0.1473382819141474,0.16858708225764502
2020-01-07,LPPI GEF WELLINGTON BNYMILTD,0.10176433848311184,0.08134299859474037
